2026-07-22T08:42:26.910532537Z
 04:42:26 up 12 days,  5:14, 12 users,  load average: 3.21, 25.23, 88.15
    PID %CPU %MEM     ELAPSED COMMAND
3406141  266  0.4       00:02 rustc
3406426  184  0.2       00:01 rustc
3406506  100  0.2       00:01 rustc
3406497  100  0.2       00:01 rustc
3406250 98.8  0.4       00:02 rustc
3405566 21.1  0.3       00:04 cargo
   6417  2.3  0.3 12-05:13:48 beam.smp
3405407  1.3  0.0       00:05 cargo-nextest
2837287  1.3  0.0       35:48 kworker/9:416-events
3202789  0.7  0.0       18:36 kworker/u96:0-mt76
3406512  0.6  0.0       00:01 sshd-session
   2608  0.5  0.0 12-05:13:58 containerd
2785000  0.5  0.0       40:30 rustdesk
   2817  0.5  0.0 12-05:13:53 dockerd
2794758  0.4  0.3       39:32 beam.smp
      1  0.3  0.0 12-05:14:05 systemd
3097726  0.3  0.0       26:46 kworker/u96:1-gfx_0.0.0
1736481  0.3 15.2  5-02:24:56 deco_binding_de
   7133  0.3  0.1 12-05:13:41 gnome-shell
