utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:42:28.339609484Z,4.80,25.19,87.80,12,1763,185982028,636667,36645522,2293414132,8768314,0,1519907,0,22:3256462:23:3256457
2026-07-22T08:42:29.348144007Z,4.80,25.19,87.80,10,1772,185983052,636667,36645586,2293415453,8768314,0,1519908,0,22:3265022:23:3265032
2026-07-22T08:42:30.365812815Z,4.80,25.19,87.80,27,1779,185984863,636667,36645676,2293415963,8768314,0,1519909,0,22:2747992:23:2747992
2026-07-22T08:42:31.380197557Z,4.80,25.19,87.80,24,1770,185987098,636667,36645724,2293416126,8768314,0,1519909,0,22:2925608:23:2937604
2026-07-22T08:42:32.388525681Z,4.80,25.19,87.80,5,1757,185988066,636667,36645777,2293417526,8768316,0,1519909,0,22:3321125:23:3321203
2026-07-22T08:42:33.395201062Z,4.57,24.81,87.34,3,1738,185988297,636667,36645801,2293419681,8768316,0,1519910,0,22:3320910:23:2665501
2026-07-22T08:42:34.402903597Z,4.57,24.81,87.34,9,1772,185988715,636667,36645871,2293421600,8768317,0,1519910,0,22:3305384:23:3305383
2026-07-22T08:42:35.410248740Z,4.57,24.81,87.34,12,1762,185989565,636667,36645974,2293423054,8768317,0,1519911,0,22:3232463:23:3232465
2026-07-22T08:42:36.418392416Z,4.57,24.81,87.34,13,1770,185990688,636667,36646098,2293424215,8768317,0,1519912,0,22:3152117:23:3152448
2026-07-22T08:42:37.430408687Z,4.57,24.81,87.34,15,1760,185991908,636667,36646164,2293425338,8768318,0,1519912,0,22:3072902:23:3072903
2026-07-22T08:42:38.444010143Z,5.33,24.63,86.94,15,1761,185993373,636667,36646202,2293426259,8768318,0,1519913,0,22:3023293:23:605264
2026-07-22T08:42:39.453785653Z,5.33,24.63,86.94,9,1755,185994499,636667,36646265,2293427490,8768319,0,1519914,0,22:3294090:23:3294039
2026-07-22T08:42:40.465382264Z,5.33,24.63,86.94,14,1780,185995546,636667,36646359,2293428762,8768319,0,1519915,0,22:3088276:23:3088281
2026-07-22T08:42:41.477469288Z,5.33,24.63,86.94,25,1776,185997382,636668,36646519,2293429189,8768319,0,1519915,0,22:2885988:23:2885941
2026-07-22T08:42:42.489806473Z,5.33,24.63,86.94,21,1771,185999555,636668,36646611,2293429345,8768320,0,1519916,0,22:2806961:23:2807177
2026-07-22T08:42:43.504391543Z,6.50,24.55,86.58,19,1760,186001346,636668,36646647,2293429944,8768321,0,1519916,0,22:2806579:23:2806555
2026-07-22T08:42:44.519039340Z,6.50,24.55,86.58,16,1758,186003012,636668,36646703,2293430646,8768321,0,1519917,0,22:2899775:23:2899784
2026-07-22T08:42:45.529267924Z,6.50,24.55,86.58,11,1753,186004331,636668,36646767,2293431688,8768321,0,1519918,0,22:3059023:23:605264
2026-07-22T08:42:46.537622267Z,6.50,24.55,86.58,7,1749,186005041,636668,36646801,2293433352,8768326,0,1519918,0,22:3310388:23:605264
2026-07-22T08:42:47.544968411Z,6.50,24.55,86.58,7,1755,186005574,636668,36646845,2293435179,8768331,0,1519919,0,22:3311178:23:605264
2026-07-22T08:42:48.552234534Z,6.38,24.22,86.14,6,1754,186006003,636668,36646877,2293437128,8768331,0,1519920,0,22:3319226:23:605264
2026-07-22T08:42:49.560209944Z,6.38,24.22,86.14,7,1755,186006574,636668,36646922,2293438921,8768334,0,1519920,0,22:3309393:23:1964864
2026-07-22T08:42:50.568475199Z,6.38,24.22,86.14,9,1757,186007240,636668,36646953,2293440638,8768334,0,1519920,0,22:3310832:23:605264
2026-07-22T08:42:51.576862975Z,6.38,24.22,86.14,10,1758,186008088,636668,36646988,2293442165,8768336,0,1519921,0,22:3191800:23:3105915
2026-07-22T08:42:52.585962852Z,6.38,24.22,86.14,12,1759,186009047,636668,36647020,2293443584,8768340,0,1519921,0,22:2996021:23:2996117
2026-07-22T08:42:53.596537678Z,6.75,24.00,85.74,14,1768,186010152,636668,36647058,2293444846,8768350,0,1519922,0,22:2908608:23:2908605
2026-07-22T08:42:54.607509852Z,6.75,24.00,85.74,23,1806,186011955,636668,36647195,2293445324,8768350,0,1519923,0,22:2855034:23:2854973
2026-07-22T08:42:55.621505461Z,6.75,24.00,85.74,23,1798,186014013,636668,36647293,2293445590,8768350,0,1519924,0,22:2790442:23:2790417
2026-07-22T08:42:56.634193407Z,6.75,24.00,85.74,26,1790,186016188,636668,36647366,2293445771,8768350,0,1519925,0,22:2872197:23:2872239
2026-07-22T08:42:57.650524826Z,6.75,24.00,85.74,20,1788,186018137,636668,36647480,2293446136,8768352,0,1519926,0,22:2893598:23:2893656
2026-07-22T08:42:58.663970870Z,7.73,23.92,85.38,20,1785,186020069,636668,36647550,2293446562,8768353,0,1519927,0,22:2919532:23:2919546
2026-07-22T08:42:59.678458065Z,7.73,23.92,85.38,21,1786,186021625,636668,36647634,2293447341,8768353,0,1519927,0,22:2880846:23:2881936
2026-07-22T08:43:00.691863372Z,7.73,23.92,85.38,22,1780,186023364,636668,36647762,2293447898,8768353,0,1519928,0,22:2899070:23:2899128
