utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:40:37.219673308Z,3.92,35.28,98.91,2,1723,185960826,636664,36641235,2293174216,8768136,0,1519640,0,22:2473056:23:3309230
2026-07-22T08:40:38.227237577Z,3.77,34.73,98.39,2,1724,185960959,636664,36641265,2293176455,8768137,0,1519641,0,22:3320918:23:3320913
2026-07-22T08:40:39.235987100Z,3.77,34.73,98.39,2,1724,185961070,636664,36641281,2293178743,8768137,0,1519645,0,22:3296077:23:605264
2026-07-22T08:40:40.244472936Z,3.77,34.73,98.39,2,1724,185961182,636664,36641308,2293181013,8768137,0,1519651,0,22:3294319:23:605264
2026-07-22T08:40:41.252875575Z,3.77,34.73,98.39,2,1724,185961296,636665,36641331,2293183284,8768140,0,1519657,0,22:3294455:23:605264
2026-07-22T08:40:42.261766545Z,3.77,34.73,98.39,2,1724,185961407,636665,36641348,2293185565,8768141,0,1519661,0,22:3294176:23:605264
2026-07-22T08:40:43.270536466Z,3.54,34.17,97.87,2,1724,185961543,636665,36641381,2293187808,8768142,0,1519662,0,22:3294685:23:605264
2026-07-22T08:40:44.279184477Z,3.54,34.17,97.87,2,1724,185961653,636665,36641399,2293190091,8768142,0,1519668,0,22:3293658:23:605264
2026-07-22T08:40:45.287790490Z,3.54,34.17,97.87,2,1724,185961766,636665,36641428,2293192360,8768142,0,1519669,0,22:3294873:23:1747622
2026-07-22T08:40:46.296378889Z,3.54,34.17,97.87,2,1724,185961880,636665,36641443,2293194636,8768147,0,1519673,0,22:3295981:23:605264
2026-07-22T08:40:47.304825932Z,3.54,34.17,97.87,2,1724,185961996,636665,36641470,2293196903,8768150,0,1519674,0,22:3295314:23:1932187
2026-07-22T08:40:48.313325093Z,3.34,33.62,97.35,2,1724,185962130,636665,36641496,2293199151,8768151,0,1519675,0,22:3295240:23:1915590
2026-07-22T08:40:49.321389735Z,3.34,33.62,97.35,2,1724,185962242,636665,36641519,2293201426,8768151,0,1519677,0,22:3294297:23:605264
2026-07-22T08:40:50.327926938Z,3.34,33.62,97.35,2,1724,185962356,636665,36641544,2293203694,8768154,0,1519678,0,22:3320231:23:1941482
2026-07-22T08:40:51.335997802Z,3.34,33.62,97.35,2,1724,185962468,636665,36641559,2293205975,8768154,0,1519679,0,22:3294771:23:605264
2026-07-22T08:40:52.343421846Z,3.34,33.62,97.35,2,1724,185962582,636665,36641585,2293208243,8768155,0,1519680,0,22:3295934:23:2879805
2026-07-22T08:40:53.352136363Z,3.23,33.09,96.83,2,1724,185962712,636665,36641604,2293210497,8768156,0,1519686,0,22:3295522:23:3295530
2026-07-22T08:40:54.360510949Z,3.23,33.09,96.83,2,1724,185962826,636665,36641635,2293212765,8768157,0,1519690,0,22:3320351:23:605264
2026-07-22T08:40:55.367420704Z,3.23,33.09,96.83,2,1724,185962944,636665,36641655,2293215033,8768157,0,1519693,0,22:3293664:23:605264
2026-07-22T08:40:56.374544232Z,3.23,33.09,96.83,2,1725,185963057,636665,36641676,2293217304,8768157,0,1519695,0,22:3294940:23:605264
2026-07-22T08:40:57.380521058Z,3.23,33.09,96.83,3,1736,185963169,636665,36641699,2293219575,8768157,0,1519698,0,22:3320742:23:3318021
2026-07-22T08:40:58.389230706Z,3.05,32.56,96.32,2,1730,185963299,636665,36641721,2293221825,8768158,0,1519700,0,22:3320178:23:605264
2026-07-22T08:40:59.396542219Z,3.05,32.56,96.32,3,1736,185963414,636665,36641752,2293224092,8768158,0,1519704,0,22:3321072:23:605264
2026-07-22T08:41:00.406211626Z,3.05,32.56,96.32,2,1725,185963524,636665,36641764,2293226375,8768162,0,1519709,0,22:3294617:23:605264
2026-07-22T08:41:01.412395562Z,3.05,32.56,96.32,2,1725,185963641,636665,36641793,2293228643,8768162,0,1519715,0,22:3320524:23:3320657
2026-07-22T08:41:02.420608103Z,3.05,32.56,96.32,3,1726,185963759,636665,36641818,2293230900,8768164,0,1519720,0,22:3295895:23:605264
2026-07-22T08:41:03.426335900Z,2.97,32.05,95.81,6,1735,185963901,636665,36641863,2293233118,8768164,0,1519724,0,22:3320745:23:3317532
