2026-07-22T08:40:36.856246665Z
 04:40:36 up 12 days,  5:12, 11 users,  load average: 3.92, 35.28, 98.91
    PID %CPU %MEM     ELAPSED COMMAND
   6417  2.3  0.3 12-05:11:58 beam.smp
2837287  1.3  0.0       33:58 kworker/9:416-events
3202789  0.7  0.0       16:46 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:12:08 containerd
2785000  0.5  0.0       38:40 rustdesk
   2817  0.5  0.0 12-05:12:03 dockerd
2794758  0.4  0.3       37:42 beam.smp
      1  0.3  0.0 12-05:12:15 systemd
3097726  0.3  0.0       24:56 kworker/u96:1-mt76
1736481  0.3 15.2  5-02:23:06 deco_binding_de
   7133  0.3  0.1 12-05:11:51 gnome-shell
   1252  0.2  0.0 12-05:12:12 napi/phy0-0
   1251  0.2  0.0 12-05:12:12 napi/phy0-0
   2582  0.2  0.0 12-05:12:08 tailscaled
   2248  0.2  0.0 12-05:12:09 systemd-machine
   2842  0.2  0.0 12-05:12:03 rustdesk
   2899  0.1  0.0 12-05:12:03 gdm3
     15  0.1  0.0 12-05:12:15 rcu_preempt
   6080  0.1  0.0 12-05:12:00 nginx
