2026-07-22T08:43:20.827632103Z
 04:43:20 up 12 days,  5:14, 12 users,  load average: 10.06, 23.41, 83.90
    PID %CPU %MEM     ELAPSED COMMAND
3407903  682  3.5       00:45 rustc
3405566  3.1  0.3       00:58 cargo
   6417  2.3  0.3 12-05:14:42 beam.smp
2837287  1.2  0.0       36:42 kworker/9:416-events
3202789  0.7  0.0       19:30 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:14:52 containerd
2785000  0.5  0.0       41:24 rustdesk
   2817  0.5  0.0 12-05:14:47 dockerd
2794758  0.4  0.3       40:26 beam.smp
      1  0.3  0.0 12-05:14:59 systemd
3097726  0.3  0.0       27:40 kworker/u96:1-mt76
1736481  0.3 15.2  5-02:25:50 deco_binding_de
   7133  0.3  0.1 12-05:14:35 gnome-shell
   1252  0.2  0.0 12-05:14:56 napi/phy0-0
   1251  0.2  0.0 12-05:14:56 napi/phy0-0
   2582  0.2  0.0 12-05:14:52 tailscaled
   2248  0.2  0.0 12-05:14:53 systemd-machine
   2842  0.2  0.0 12-05:14:47 rustdesk
   2899  0.1  0.0 12-05:14:47 gdm3
