utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:43:21.135662617Z,10.06,23.41,83.90,5,1744,186048828,636669,36649481,2293469578,8768365,0,1519953,0,22:1997656:23:3288807
2026-07-22T08:43:22.142530230Z,10.06,23.41,83.90,5,1744,186049238,636669,36649495,2293471559,8768368,0,1519955,0,22:3319295:23:1996623
2026-07-22T08:43:23.149779932Z,9.57,23.08,83.47,4,1743,186049631,636669,36649525,2293473546,8768368,0,1519959,0,22:3321131:23:605264
2026-07-22T08:43:24.156530114Z,9.57,23.08,83.47,3,1757,186049870,636669,36649550,2293475690,8768370,0,1519959,0,22:3321876:23:1876947
2026-07-22T08:43:25.163473489Z,9.57,23.08,83.47,3,1742,186050092,636669,36649573,2293477852,8768370,0,1519960,0,22:3322171:23:605264
2026-07-22T08:43:26.170178746Z,9.57,23.08,83.47,3,1742,186050312,636669,36649602,2293480007,8768370,0,1519962,0,22:3322019:23:3322025
2026-07-22T08:43:27.177147349Z,9.57,23.08,83.47,3,1742,186050524,636669,36649614,2293482188,8768374,0,1519963,0,22:3321723:23:605264
2026-07-22T08:43:28.184941747Z,8.96,22.73,83.03,4,1744,186050711,636669,36649673,2293484350,8768374,0,1519964,0,22:3296309:23:3296277
2026-07-22T08:43:29.191605927Z,8.96,22.73,83.03,5,1745,186051047,636669,36649843,2293486254,8768375,0,1519966,0,22:3320822:23:3320750
2026-07-22T08:43:30.198315582Z,8.96,22.73,83.03,4,1744,186051387,636669,36649904,2293488256,8768376,0,1519969,0,22:3321112:23:605264
2026-07-22T08:43:31.204440906Z,8.96,22.73,83.03,5,1753,186051602,636669,36649932,2293490416,8768379,0,1519971,0,22:3322101:23:3270488
2026-07-22T08:43:32.212438127Z,8.96,22.73,83.03,7,1751,186051895,636669,36649969,2293492491,8768380,0,1519975,0,22:3313308:23:605264
2026-07-22T08:43:33.220486023Z,8.65,22.44,82.61,7,1755,186052425,636669,36650019,2293494320,8768381,0,1519977,0,22:3316164:23:3312939
2026-07-22T08:43:34.227452522Z,8.65,22.44,82.61,5,1746,186053136,636669,36650141,2293495890,8768386,0,1519978,0,22:3321246:23:605264
2026-07-22T08:43:35.235744728Z,8.65,22.44,82.61,13,1795,186053956,636669,36650295,2293497327,8768386,0,1519979,0,22:2972792:23:2972821
2026-07-22T08:43:36.242469231Z,8.65,22.44,82.61,4,1759,186054593,636669,36650433,2293498961,8768387,0,1519980,0,22:3321065:23:3321540
2026-07-22T08:43:37.249685731Z,8.65,22.44,82.61,6,1750,186054970,636669,36650519,2293500901,8768387,0,1519982,0,22:3315339:23:605264
2026-07-22T08:43:38.268630272Z,8.67,22.22,82.22,39,1801,186055614,636669,36650653,2293502536,8768387,0,1519983,0,22:2527748:23:2527836
2026-07-22T08:43:39.284891839Z,8.67,22.22,82.22,29,1833,186057293,636669,36651184,2293502767,8768389,0,1519984,0,22:2673519:23:2657140
2026-07-22T08:43:40.294965210Z,8.67,22.22,82.22,3,1737,186057930,636669,36651725,2293504006,8768395,0,1519985,0,22:3322266:23:3322249
2026-07-22T08:43:41.300709727Z,8.67,22.22,82.22,3,1736,186058095,636670,36651754,2293506169,8768446,0,1519987,0,22:3321148:23:1924894
2026-07-22T08:43:42.308729530Z,8.67,22.22,82.22,2,1732,186058228,636670,36651799,2293508390,8768447,0,1519988,0,22:3320737:23:605264
2026-07-22T08:43:43.317248033Z,8.14,21.88,81.79,2,1734,186058344,636670,36651828,2293510657,8768447,0,1519990,0,22:3295282:23:605264
2026-07-22T08:43:44.325834693Z,8.14,21.88,81.79,3,1734,186058463,636670,36651851,2293512924,8768447,0,1519992,0,22:3321239:23:605264
2026-07-22T08:43:45.333132396Z,8.14,21.88,81.79,4,1742,186058609,636670,36651899,2293515126,8768458,0,1519994,0,22:3320924:23:605264
2026-07-22T08:43:46.339994218Z,8.14,21.88,81.79,3,1736,186058802,636670,36651932,2293517307,8768462,0,1519994,0,22:3320877:23:605264
2026-07-22T08:43:47.347115608Z,8.14,21.88,81.79,3,1742,186058990,636670,36651966,2293519468,8768487,0,1519995,0,22:3320233:23:605264
2026-07-22T08:43:48.354207794Z,7.65,21.55,81.36,3,1742,186059192,636670,36651979,2293521658,8768490,0,1519997,0,22:3320956:23:605264
