2026-07-22T08:41:05.492815270Z
 04:41:05 up 12 days,  5:12, 12 users,  load average: 2.97, 32.05, 95.81
    PID %CPU %MEM     ELAPSED COMMAND
3393745  100  0.2       00:00 cargo
3393632  5.2  0.0       00:00 cargo-nextest
   6417  2.3  0.3 12-05:12:27 beam.smp
2837287  1.3  0.0       34:26 kworker/9:416-events
3202789  0.7  0.0       17:14 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:12:37 containerd
2785000  0.5  0.0       39:08 rustdesk
   2817  0.5  0.0 12-05:12:31 dockerd
2794758  0.4  0.3       38:10 beam.smp
      1  0.3  0.0 12-05:12:43 systemd
3097726  0.3  0.0       25:24 kworker/u96:1-mt76
1736481  0.3 15.2  5-02:23:35 deco_binding_de
   7133  0.3  0.1 12-05:12:20 gnome-shell
   1252  0.2  0.0 12-05:12:40 napi/phy0-0
   1251  0.2  0.0 12-05:12:40 napi/phy0-0
   2582  0.2  0.0 12-05:12:37 tailscaled
   2248  0.2  0.0 12-05:12:38 systemd-machine
   2842  0.2  0.0 12-05:12:31 rustdesk
   2899  0.1  0.0 12-05:12:31 gdm3
