utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:46:42.490294280Z,4.97,14.51,68.64,18,1739,186147099,636675,36660158,2293841150,8769187,0,1520266,0,22:2633662:23:2633607
2026-07-22T08:46:43.505140011Z,6.09,14.59,68.38,17,1739,186148824,636675,36660210,2293841799,8769187,0,1520267,0,22:2744479:23:2744532
2026-07-22T08:46:44.521110971Z,6.09,14.59,68.38,18,1752,186150471,636675,36660264,2293842520,8769187,0,1520269,0,22:2603576:23:2611125
2026-07-22T08:46:45.535524217Z,6.09,14.59,68.38,21,1763,186152150,636675,36660341,2293843187,8769189,0,1520271,0,22:2595580:23:2599449
2026-07-22T08:46:46.549449353Z,6.09,14.59,68.38,18,1744,186153809,636675,36660427,2293843855,8769190,0,1520274,0,22:2732131:23:2732123
2026-07-22T08:46:47.563720431Z,6.09,14.59,68.38,17,1746,186155391,636675,36660495,2293844623,8769192,0,1520276,0,22:2682661:23:2681100
2026-07-22T08:46:48.577460449Z,6.89,14.61,68.10,15,1743,186156953,636675,36660557,2293845420,8769192,0,1520277,0,22:2774407:23:2774408
2026-07-22T08:46:49.590804972Z,6.89,14.61,68.10,14,1747,186158225,636675,36660638,2293846489,8769192,0,1520278,0,22:2748480:23:2748478
2026-07-22T08:46:50.600795707Z,6.89,14.61,68.10,10,1760,186159248,636675,36660706,2293847819,8769192,0,1520280,0,22:2931284:23:2934608
2026-07-22T08:46:51.608294328Z,6.89,14.61,68.10,9,1763,186160113,636675,36660799,2293849264,8769193,0,1520281,0,22:2930681:23:2928920
2026-07-22T08:46:52.616321816Z,6.89,14.61,68.10,8,1742,186160846,636675,36660854,2293850882,8769194,0,1520282,0,22:605264:23:3101266
2026-07-22T08:46:53.623217100Z,6.82,14.47,67.76,7,1751,186161461,636675,36660884,2293852647,8769195,0,1520282,0,22:3308049:23:3308939
2026-07-22T08:46:54.630502460Z,6.82,14.47,67.76,6,1740,186161971,636675,36660916,2293854513,8769195,0,1520283,0,22:605264:23:3311016
2026-07-22T08:46:55.637511629Z,6.82,14.47,67.76,5,1750,186162486,636675,36660965,2293856359,8769196,0,1520283,0,22:605264:23:3319842
2026-07-22T08:46:56.644739611Z,6.82,14.47,67.76,4,1727,186162913,636675,36661138,2293858161,8769196,0,1520284,0,22:1960854:23:3320911
2026-07-22T08:46:57.652121692Z,6.82,14.47,67.76,3,1727,186163125,636675,36661158,2293860338,8769197,0,1520285,0,22:605264:23:3322045
2026-07-22T08:46:58.659240007Z,6.43,14.26,67.41,3,1727,186163341,636675,36661181,2293862508,8769199,0,1520286,0,22:605264:23:3321217
2026-07-22T08:46:59.666395442Z,6.43,14.26,67.41,3,1727,186163553,636675,36661205,2293864679,8769199,0,1520287,0,22:605264:23:3322047
2026-07-22T08:47:00.673570694Z,6.43,14.26,67.41,4,1724,186163724,636675,36661255,2293866863,8769206,0,1520288,0,22:605264:23:3321393
2026-07-22T08:47:01.680445430Z,6.43,14.26,67.41,3,1724,186163936,636675,36661285,2293869027,8769210,0,1520289,0,22:605264:23:3321679
2026-07-22T08:47:02.686612003Z,6.43,14.26,67.41,7,1735,186164149,636675,36661303,2293871203,8769212,0,1520289,0,22:3320326:23:3321990
2026-07-22T08:47:03.691995750Z,6.15,14.07,67.06,6,1732,186164371,636675,36661350,2293873330,8769220,0,1520292,0,22:3106391:23:3316368
2026-07-22T08:47:04.699030427Z,6.15,14.07,67.06,2,1725,186164590,636675,36661383,2293875479,8769222,0,1520293,0,22:1936130:23:3322144
2026-07-22T08:47:05.706174591Z,6.15,14.07,67.06,4,1725,186164822,636675,36661422,2293877603,8769235,0,1520296,0,22:605264:23:3321364
2026-07-22T08:47:06.713024410Z,6.15,14.07,67.06,10,1737,186165241,636675,36661516,2293879493,8769236,0,1520301,0,22:2975829:23:2975304
2026-07-22T08:47:07.720729631Z,6.15,14.07,67.06,6,1726,186165867,636675,36661601,2293881185,8769238,0,1520302,0,22:605264:23:3312108
2026-07-22T08:47:08.728500394Z,5.98,13.91,66.72,7,1726,186166295,636675,36661642,2293883127,8769240,0,1520303,0,22:605264:23:3318478
2026-07-22T08:47:09.735400228Z,5.98,13.91,66.72,4,1751,186166613,636675,36661772,2293884997,8769332,0,1520304,0,22:1998014:23:3318168
2026-07-22T08:47:10.743721028Z,5.98,13.91,66.72,2,1710,186166752,636675,36661821,2293887211,8769334,0,1520307,0,22:605264:23:3310894
2026-07-22T08:47:11.752683717Z,5.98,13.91,66.72,3,1711,186166876,636675,36661845,2293889474,8769336,0,1520308,0,22:605264:23:3321563
