2026-07-22T08:44:04.934194353Z
 04:44:04 up 12 days,  5:15, 11 users,  load average: 6.82, 20.68, 80.11
    PID %CPU %MEM     ELAPSED COMMAND
   6417  2.3  0.3 12-05:15:26 beam.smp
2837287  1.2  0.0       37:26 kworker/9:416-cgroup_free
3202789  0.7  0.0       20:14 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:15:36 containerd
2785000  0.5  0.0       42:08 rustdesk
   2817  0.5  0.0 12-05:15:31 dockerd
2794758  0.4  0.3       41:10 beam.smp
      1  0.3  0.0 12-05:15:43 systemd
3097726  0.3  0.0       28:24 kworker/u96:1-phy0
1736481  0.3 15.2  5-02:26:35 deco_binding_de
   7133  0.3  0.1 12-05:15:19 gnome-shell
   1252  0.2  0.0 12-05:15:40 napi/phy0-0
   1251  0.2  0.0 12-05:15:40 napi/phy0-0
3371785  0.2  0.0       04:36 kworker/u98:2-kvfree_rcu_reclaim
   2582  0.2  0.0 12-05:15:36 tailscaled
   2248  0.2  0.0 12-05:15:37 systemd-machine
   2842  0.2  0.0 12-05:15:31 rustdesk
   2899  0.1  0.0 12-05:15:31 gdm3
     15  0.1  0.0 12-05:15:43 rcu_preempt
