utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:44:05.964480107Z,6.82,20.68,80.11,3,1732,186064178,636670,36652682,2293558033,8768525,0,1520022,0,22:3321232:23:3321123
2026-07-22T08:44:06.970604330Z,6.82,20.68,80.11,2,1730,186064316,636670,36652741,2293560235,8768526,0,1520024,0,22:3297392:23:3294409
2026-07-22T08:44:07.978486303Z,6.36,20.35,79.69,2,1730,186064429,636670,36652759,2293562509,8768527,0,1520025,0,22:3297862:23:605264
2026-07-22T08:44:08.986241377Z,6.36,20.35,79.69,3,1741,186064543,636670,36652783,2293564784,8768527,0,1520026,0,22:3321744:23:3083731
2026-07-22T08:44:09.994108743Z,6.36,20.35,79.69,2,1730,186064663,636670,36652805,2293567047,8768530,0,1520033,0,22:3320976:23:605264
2026-07-22T08:44:11.000261299Z,6.36,20.35,79.69,2,1730,186064776,636670,36652832,2293569315,8768530,0,1520034,0,22:3320804:23:1997462
2026-07-22T08:44:12.006483536Z,6.36,20.35,79.69,2,1730,186064896,636670,36652885,2293571497,8768578,0,1520034,0,22:3321340:23:605264
2026-07-22T08:44:13.013708662Z,5.93,20.03,79.26,2,1730,186065011,636670,36652915,2293573746,8768588,0,1520036,0,22:3296214:23:3299281
2026-07-22T08:44:14.022420558Z,5.93,20.03,79.26,2,1730,186065123,636670,36652931,2293576027,8768589,0,1520036,0,22:3320790:23:1979138
2026-07-22T08:44:15.029850119Z,5.93,20.03,79.26,2,1730,186065240,636670,36652956,2293578291,8768591,0,1520038,0,22:3320619:23:3316727
2026-07-22T08:44:16.036224984Z,5.93,20.03,79.26,3,1741,186065353,636670,36652976,2293580568,8768593,0,1520039,0,22:3320638:23:3323273
2026-07-22T08:44:17.042563981Z,5.93,20.03,79.26,4,1745,186065474,636670,36653000,2293582813,8768608,0,1520041,0,22:3320903:23:2408329
2026-07-22T08:44:18.047911961Z,5.53,19.71,78.84,6,1742,186065597,636670,36653033,2293585060,8768608,0,1520044,0,22:3320531:23:3318552
2026-07-22T08:44:19.056081196Z,5.53,19.71,78.84,2,1728,186065715,636670,36653061,2293587319,8768608,0,1520045,0,22:3295648:23:605264
2026-07-22T08:44:20.062285399Z,5.53,19.71,78.84,2,1728,186065836,636670,36653095,2293589576,8768608,0,1520047,0,22:3321101:23:3319390
2026-07-22T08:44:21.071017704Z,5.53,19.71,78.84,2,1728,186065948,636670,36653113,2293591834,8768627,0,1520049,0,22:3292812:23:1935233
2026-07-22T08:44:22.079786237Z,5.53,19.71,78.84,2,1728,186066068,636670,36653136,2293594103,8768628,0,1520051,0,22:3320495:23:1816313
2026-07-22T08:44:23.087470277Z,5.25,19.42,78.43,3,1739,186066190,636670,36653157,2293596367,8768632,0,1520052,0,22:3296997:23:3297812
2026-07-22T08:44:24.095924429Z,5.25,19.42,78.43,2,1728,186066301,636670,36653175,2293598647,8768634,0,1520054,0,22:3293198:23:605264
2026-07-22T08:44:25.101908447Z,5.25,19.42,78.43,4,1740,186066437,636670,36653219,2293600869,8768638,0,1520058,0,22:3321312:23:3317697
2026-07-22T08:44:26.109693307Z,5.25,19.42,78.43,3,1732,186066563,636670,36653249,2293603111,8768641,0,1520060,0,22:3294178:23:1973879
2026-07-22T08:44:27.115560816Z,5.25,19.42,78.43,2,1732,186066688,636670,36653284,2293605357,8768643,0,1520063,0,22:3319284:23:3308225
2026-07-22T08:44:28.123622548Z,5.07,19.14,78.03,2,1728,186066814,636670,36653313,2293607590,8768656,0,1520066,0,22:3299926:23:605264
2026-07-22T08:44:29.131618927Z,5.07,19.14,78.03,2,1728,186066926,636670,36653332,2293609871,8768656,0,1520068,0,22:3313902:23:2181202
2026-07-22T08:44:30.140103947Z,5.07,19.14,78.03,3,1739,186067046,636670,36653358,2293612130,8768661,0,1520071,0,22:3293640:23:1988216
2026-07-22T08:44:31.148436710Z,5.07,19.14,78.03,2,1728,186067158,636670,36653377,2293614412,8768661,0,1520072,0,22:3302339:23:605264
2026-07-22T08:44:32.154649980Z,5.07,19.14,78.03,5,1738,186067276,636670,36653399,2293616678,8768661,0,1520077,0,22:3319926:23:3319161
